input_feature_name,input_feature_description,expanded_feature_name,expanded_feature_description,prescan_required_hint,domain,prescan_primary_regions,prescan_law_hits,prescan_rationale,prescan_confidence_boost,prescan_keyword_hits
NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.",Non-shareable policy (content should not be shared externally) auto-flagging,"This feature will automatically detect and tag content that violates Non-shareable policy (content should not be shared externally) policy. Once flagged, A user-level limitation applied silently without notifications is applied and a Flag for legal review (different from its traditional business use for 'financial loss') alert is generated if downstream sharing is attempted.",False,,[],[],no strong signals,0.0,{}
Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.",Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with Log tracing mode to verify compliance routing and stores activity under Baseline Behavior; standard user behavior used for anomaly detection.",True,,[],[],explicit compliance phrasing,0.05,{}
Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in Feature rollout status metadata and tracked using Internal monitoring trigger.,False,,[],[],no strong signals,0.0,{}
Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,Mood-based Personalized feed enhancements,Adjust Personalized feed recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using Baseline Behavior; standard user behavior used for anomaly detection and undergoes quiet testing in Deploy feature in non-user-impact way to collect analytics only.,True,,[],[],explicit compliance phrasing,0.05,{}
New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.",New user rewards via Not recommended profile suggestions,"At onboarding, users will receive Not recommended-curated profiles to follow for faster network building. A/B testing will use A synthetic name for a rule engine (not to be confused with Google Spanner).",False,,[],[],no strong signals,0.0,{}
Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.",Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. Geo-handler; a module responsible for routing features based on user region will manage exposure control, and Baseline Behavior; standard user behavior used for anomaly detection is used to baseline feedback.",True,,[],[],explicit compliance phrasing,0.05,{}
Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,Canada-first Personalized feed variant test,"Launch a Personalized feed variant in CA as part of early experimentation. A synthetic name for a rule engine (not to be confused with Google Spanner) will isolate affected cohorts and A compliance-flagging status, internally used to indicate geo-based alerts flags will monitor feature health.",False,,[],[],no strong signals,0.0,{}
Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.",Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. Geo-handler; a module responsible for routing features based on user region will ensure location targeting and Deploy feature in non-user-impact way to collect analytics only will collect usage metrics without user impact.",True,,[],[],explicit compliance phrasing,0.05,{}
Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.",Regional trial of autoplay behavior,"Enable video autoplay only for users in US. Geo-handler; a module responsible for routing features based on user region filters users, while A synthetic name for a rule engine (not to be confused with Google Spanner) logs click-through deltas.",True,,[],[],explicit compliance phrasing,0.05,{}
South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via Geo-handler; a module responsible for routing features based on user region and monitored with Feature rollout status flags.,True,,[],[],explicit compliance phrasing,0.05,{}
Chat content restrictions via LCP,"Enforce message content constraints by injecting LCP rules on delivery. ShadowMode will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.",Chat content restrictions via Local compliance policy,"Enforce message content constraints by injecting Local compliance policy rules on delivery. Deploy feature in non-user-impact way to collect analytics only will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.",False,,[],[],no strong signals,0.0,{}
Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,Video upload limits for new users,Introduce limits on video uploads from new accounts. Internal monitoring trigger will trigger thresholds based on Baseline Behavior; standard user behavior used for anomaly detection patterns. These limitations are partly for platform safety but without direct legal mapping.,True,,[],[],explicit compliance phrasing,0.05,{}
Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.",Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via Compliance Detection System with Flag for legal review (different from its traditional business use for 'financial loss') markers. The logic applies generally and is monitored through Log tracing mode to verify compliance routing, with no mention of regional policies.",True,,[],[],explicit compliance phrasing,0.05,{}
User behavior scoring for policy gating,Behavioral scoring via Spanner will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB divergence.,User behavior scoring for policy gating,Behavioral scoring via A synthetic name for a rule engine (not to be confused with Google Spanner) will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on Baseline Behavior; standard user behavior used for anomaly detection divergence.,True,,[],[],explicit compliance phrasing,0.05,{}
